d1,1,-1,0,0,0,0
d2,1,0,-1,0,0,0
d3,1,0,0,-1,0,0
d4,1,0,0,0,-1,0
d5,1,0,0,0,0,-1
d6,1,0,0,0,0,0
d7,-1,1,0,0,0,0
d8,0,1,-1,0,0,0
d9,0,1,0,-1,0,0
d10,0,1,0,0,-1,0
d11,0,1,0,0,0,-1
d12,0,1,0,0,0,0
d13,-1,0,1,0,0,0
d14,0,-1,1,0,0,0
d15,0,0,1,-1,0,0
d16,0,0,1,0,-1,0
d17,0,0,1,0,0,-1
d18,0,0,1,0,0,0
d19,-1,0,0,1,0,0
d20,0,-1,0,1,0,0
d21,0,0,-1,1,0,0
d22,0,0,0,1,-1,0
d23,0,0,0,1,0,-1
d24,0,0,0,1,0,0
d25,-1,0,0,0,1,0
d26,0,-1,0,0,1,0
d27,0,0,-1,0,1,0
d28,0,0,0,-1,1,0
d29,0,0,0,0,1,-1
d30,0,0,0,0,1,0
d31,-1,0,0,0,0,1
d32,0,-1,0,0,0,1
d33,0,0,-1,0,0,1
d34,0,0,0,-1,0,1
d35,0,0,0,0,-1,1
d36,0,0,0,0,0,1
d37,-1,0,0,0,0,0
d38,0,-1,0,0,0,0
d39,0,0,-1,0,0,0
d40,0,0,0,-1,0,0
d41,0,0,0,0,-1,0
d42,0,0,0,0,0,-1
