d1,-1,-1,-1,-1
d2,-1,-1,-1,0
d3,-1,-1,-1,1
d4,-1,-1,0,-1
d5,-1,-1,0,0
d6,-1,-1,0,1
d7,-1,-1,1,-1
d8,-1,-1,1,0
d9,-1,-1,1,1
d10,-1,0,-1,-1
d11,-1,0,-1,0
d12,-1,0,-1,1
d13,-1,0,0,-1
d14,-1,0,0,0
d15,-1,0,0,1
d16,-1,0,1,-1
d17,-1,0,1,0
d18,-1,0,1,1
d19,-1,1,-1,-1
d20,-1,1,-1,0
d21,-1,1,-1,1
d22,-1,1,0,-1
d23,-1,1,0,0
d24,-1,1,0,1
d25,-1,1,1,-1
d26,-1,1,1,0
d27,-1,1,1,1
d28,0,-1,-1,-1
d29,0,-1,-1,0
d30,0,-1,-1,1
d31,0,-1,0,-1
d32,0,-1,0,0
d33,0,-1,0,1
d34,0,-1,1,-1
d35,0,-1,1,0
d36,0,-1,1,1
d37,0,0,-1,-1
d38,0,0,-1,0
d39,0,0,-1,1
d40,0,0,0,-1
d41,0,0,0,1
d42,0,0,1,-1
d43,0,0,1,0
d44,0,0,1,1
d45,0,1,-1,-1
d46,0,1,-1,0
d47,0,1,-1,1
d48,0,1,0,-1
d49,0,1,0,0
d50,0,1,0,1
d51,0,1,1,-1
d52,0,1,1,0
d53,0,1,1,1
d54,1,-1,-1,-1
d55,1,-1,-1,0
d56,1,-1,-1,1
d57,1,-1,0,-1
d58,1,-1,0,0
d59,1,-1,0,1
d60,1,-1,1,-1
d61,1,-1,1,0
d62,1,-1,1,1
d63,1,0,-1,-1
d64,1,0,-1,0
d65,1,0,-1,1
d66,1,0,0,-1
d67,1,0,0,0
d68,1,0,0,1
d69,1,0,1,-1
d70,1,0,1,0
d71,1,0,1,1
d72,1,1,-1,-1
d73,1,1,-1,0
d74,1,1,-1,1
d75,1,1,0,-1
d76,1,1,0,0
d77,1,1,0,1
d78,1,1,1,-1
d79,1,1,1,0
d80,1,1,1,1
