NT,NLP_Solver,k,Objective,Time (s)
5,knitro,L2,3.130198132329715,3.7278621196746826
5,baron,L2,3.130198132329715,2.775907039642334
5,knitro,Linf,3.0620145765739197,3.7131240367889404
5,baron,Linf,3.0620145765739197,3.63629412651062
6,knitro,L2,3.130198132329715,5.418642520904541
6,baron,L2,3.130198132329715,3.9788856506347656
6,knitro,Linf,3.0072779739861715,4.427759170532227
6,baron,Linf,3.0072779739861715,4.7388246059417725
7,knitro,L2,3.130198132329715,4.075173616409302
7,baron,L2,3.130198132329715,3.9738059043884277
7,knitro,Linf,2.966047072054598,5.554377555847168
7,baron,Linf,2.966047072054598,5.237062692642212
8,knitro,L2,3.130198132329715,4.122750997543335
8,baron,L2,3.130198132329715,3.7697317600250244
8,knitro,Linf,2.9344051030872005,5.333848476409912
8,baron,Linf,2.9344051030872005,5.706854581832886
9,knitro,L2,3.130198132329715,3.3213605880737305
9,baron,L2,3.130198132329715,4.077863931655884
9,knitro,Linf,2.909533261913244,6.7725303173065186
9,baron,Linf,2.909533261913244,7.81814432144165
10,knitro,L2,3.130198132329715,4.754985809326172
10,baron,L2,3.130198132329715,4.5682618618011475
10,knitro,Linf,2.8895369685436294,8.39240550994873
10,baron,Linf,2.8895369685436294,9.142786026000977
11,knitro,L2,3.130198132329715,5.86026406288147
11,baron,L2,3.130198132329715,5.832338094711304
11,knitro,Linf,2.873140226203434,11.03695797920227
11,baron,Linf,2.873140226203434,8.022186994552612
12,knitro,L2,3.130198132329715,4.204470634460449
12,baron,L2,3.130198132329715,4.034653186798096
12,knitro,Linf,2.8594656076358045,10.365803003311157
12,baron,Linf,2.8594656076358045,9.95569634437561
13,knitro,L2,3.130198132329715,4.338276386260986
13,baron,L2,3.130198132329715,3.8011109828948975
13,knitro,Linf,2.8478946319864953,10.701895475387573
13,baron,Linf,2.8478946319864953,9.914148092269897
14,knitro,L2,3.130198132329715,4.2346556186676025
14,baron,L2,3.130198132329715,5.409814834594727
14,knitro,Linf,2.837980692760724,10.016036033630371
14,baron,Linf,2.837980692760724,9.603132963180542
15,knitro,L2,3.130198132329715,5.071369409561157
15,baron,L2,3.130198132329715,5.214901924133301
15,knitro,Linf,2.8293940630587144,12.931170463562012
15,baron,Linf,2.8293940630587144,12.284100770950317
16,knitro,L2,3.130198132329715,4.191612958908081
16,baron,L2,3.130198132329715,5.170598983764648
16,knitro,Linf,2.8218864094767833,15.052702188491821
16,baron,Linf,2.8218864094767833,15.335492134094238
17,knitro,L2,3.130198132329715,5.9339189529418945
17,baron,L2,3.130198132329715,6.086316823959351
17,knitro,Linf,2.8152673375976867,17.322603940963745
17,baron,Linf,2.8152673375976867,17.62444019317627
18,knitro,L2,3.130198132329715,6.724985122680664
18,baron,L2,3.130198132329715,6.083144903182983
18,knitro,Linf,2.8093885376330894,18.26237154006958
18,baron,Linf,2.8093885376330894,16.826720476150513
19,knitro,L2,3.130198132329715,8.952149868011475
19,baron,L2,3.130198132329715,9.904943704605103
19,knitro,Linf,2.80413282638558,27.2341411113739
19,baron,Linf,2.80413282638558,23.826519012451172
20,knitro,L2,3.130198132329715,8.070159673690796
20,baron,L2,3.130198132329715,6.494313955307007
20,knitro,Linf,2.79940642501676,17.605342864990234
20,baron,Linf,2.79940642501676,16.106475353240967
21,knitro,L2,3.130198132329715,4.7779927253723145
21,baron,L2,3.130198132329715,5.472589492797852
21,knitro,Linf,2.7951334164061983,17.953311681747437
21,baron,Linf,2.7951334164061983,17.465514183044434
22,knitro,L2,3.130198132329715,5.871582746505737
22,baron,L2,3.130198132329715,7.571946144104004
22,knitro,Linf,2.7912516990272183,19.04247546195984
22,baron,Linf,2.7912516990272183,27.17935585975647
23,knitro,L2,3.130198132329715,5.790415525436401
23,baron,L2,3.130198132329715,5.989009141921997
23,knitro,Linf,2.7877099905261713,22.043853759765625
23,baron,Linf,2.7877099905261713,26.059494495391846
24,knitro,L2,3.130198132329715,7.889803409576416
24,baron,L2,3.130198132329715,7.548046588897705
24,knitro,Linf,2.7844655755962724,45.06238317489624
24,baron,Linf,2.7844655755962724,27.82550621032715
25,knitro,L2,3.130198132329715,9.639538764953613
25,baron,L2,3.130198132329715,7.886870861053467
25,knitro,Linf,2.7814825926754,31.294180870056152
25,baron,Linf,2.7814825926754,26.09557056427002
26,knitro,L2,3.130198132329715,5.957033395767212
26,baron,L2,3.130198132329715,5.945906400680542
26,knitro,Linf,2.7787307151276415,31.193901777267456
26,baron,Linf,2.7787307151276415,40.398841381073
27,knitro,L2,3.130198132329715,14.585143089294434
27,baron,L2,3.130198132329715,8.135599136352539
27,knitro,Linf,2.7761841248417185,39.69969987869263
27,baron,Linf,2.7761841248417185,38.46226906776428
28,knitro,L2,3.130198132329715,8.921888828277588
28,baron,L2,3.130198132329715,9.568353176116943
28,knitro,Linf,2.773820706017508,43.28029990196228
28,baron,Linf,2.773820706017508,55.194143772125244
29,knitro,L2,3.130198132329715,8.783891439437866
29,baron,L2,3.130198132329715,8.956895112991333
29,knitro,Linf,2.7716214052136205,44.930012226104736
29,baron,Linf,2.7716214052136205,40.95608878135681
30,knitro,L2,3.130198132329715,9.60117769241333
30,baron,L2,3.130198132329715,12.228340864181519
30,knitro,Linf,2.7695697198462006,42.77383255958557
30,baron,Linf,2.7695697198462006,38.65700149536133
